Data run ended at:  Tuesday, November 9, 2021	4:11:24 PM
Total number of sweeps:  156060	live time (sec):  3121.200000	real time (sec):  4183.029000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	7.916000E+3
4.000000E-5	7.873000E+3
6.000000E-5	8.215000E+3
8.000000E-5	7.882000E+3
1.000000E-4	7.896000E+3
1.200000E-4	7.974000E+3
1.400000E-4	7.894000E+3
1.600000E-4	7.951000E+3
1.800000E-4	8.053000E+3
2.000000E-4	8.102000E+3
2.200000E-4	7.872000E+3
2.400000E-4	8.120000E+3
2.600000E-4	8.114000E+3
2.800000E-4	7.963000E+3
3.000000E-4	7.874000E+3
3.200000E-4	8.016000E+3
3.400000E-4	7.981000E+3
3.600000E-4	7.969000E+3
3.800000E-4	7.875000E+3
4.000000E-4	8.066000E+3
4.200000E-4	8.160000E+3
4.400000E-4	7.957000E+3
4.600000E-4	8.035000E+3
4.800000E-4	8.039000E+3
5.000000E-4	8.084000E+3
5.200000E-4	7.953000E+3
5.400000E-4	8.116000E+3
5.600000E-4	7.985000E+3
5.800000E-4	8.087000E+3
6.000000E-4	7.903000E+3
6.200000E-4	7.944000E+3
6.400000E-4	7.992000E+3
6.600000E-4	7.871000E+3
6.800000E-4	7.960000E+3
7.000000E-4	7.924000E+3
7.200000E-4	7.901000E+3
7.400000E-4	7.841000E+3
7.600000E-4	7.951000E+3
7.800000E-4	8.060000E+3
8.000000E-4	7.856000E+3
8.200000E-4	8.016000E+3
8.400000E-4	8.092000E+3
8.600000E-4	8.148000E+3
8.800000E-4	8.025000E+3
9.000000E-4	7.971000E+3
9.200000E-4	8.130000E+3
9.400000E-4	8.099000E+3
9.600000E-4	7.872000E+3
9.800000E-4	8.017000E+3
1.000000E-3	7.995000E+3
1.020000E-3	8.024000E+3
1.040000E-3	7.898000E+3
1.060000E-3	7.925000E+3
1.080000E-3	7.991000E+3
1.100000E-3	8.040000E+3
1.120000E-3	8.010000E+3
1.140000E-3	7.805000E+3
1.160000E-3	7.987000E+3
1.180000E-3	7.908000E+3
1.200000E-3	7.917000E+3
1.220000E-3	7.996000E+3
1.240000E-3	7.952000E+3
1.260000E-3	7.956000E+3
1.280000E-3	7.881000E+3
1.300000E-3	7.906000E+3
1.320000E-3	7.958000E+3
1.340000E-3	7.975000E+3
1.360000E-3	8.045000E+3
1.380000E-3	7.941000E+3
1.400000E-3	8.067000E+3
1.420000E-3	7.898000E+3
1.440000E-3	7.848000E+3
1.460000E-3	7.878000E+3
1.480000E-3	7.999000E+3
1.500000E-3	8.102000E+3
1.520000E-3	8.026000E+3
1.540000E-3	7.902000E+3
1.560000E-3	7.864000E+3
1.580000E-3	7.926000E+3
1.600000E-3	8.027000E+3
1.620000E-3	7.994000E+3
1.640000E-3	7.939000E+3
1.660000E-3	7.841000E+3
1.680000E-3	7.924000E+3
1.700000E-3	7.912000E+3
1.720000E-3	8.046000E+3
1.740000E-3	7.989000E+3
1.760000E-3	8.031000E+3
1.780000E-3	8.011000E+3
1.800000E-3	7.872000E+3
1.820000E-3	7.888000E+3
1.840000E-3	7.944000E+3
1.860000E-3	8.074000E+3
1.880000E-3	8.024000E+3
1.900000E-3	7.938000E+3
1.920000E-3	8.039000E+3
1.940000E-3	8.109000E+3
1.960000E-3	7.859000E+3
1.980000E-3	7.860000E+3
2.000000E-3	7.900000E+3
2.020000E-3	7.890000E+3
2.040000E-3	7.800000E+3
2.060000E-3	7.895000E+3
2.080000E-3	8.038000E+3
2.100000E-3	7.978000E+3
2.120000E-3	7.955000E+3
2.140000E-3	8.001000E+3
2.160000E-3	8.186000E+3
2.180000E-3	8.006000E+3
2.200000E-3	7.904000E+3
2.220000E-3	8.016000E+3
2.240000E-3	8.002000E+3
2.260000E-3	7.865000E+3
2.280000E-3	7.852000E+3
2.300000E-3	7.991000E+3
2.320000E-3	7.982000E+3
2.340000E-3	7.962000E+3
2.360000E-3	7.959000E+3
2.380000E-3	7.988000E+3
2.400000E-3	8.026000E+3
2.420000E-3	8.033000E+3
2.440000E-3	7.858000E+3
2.460000E-3	7.859000E+3
2.480000E-3	7.914000E+3
2.500000E-3	7.989000E+3
2.520000E-3	7.951000E+3
2.540000E-3	8.152000E+3
2.560000E-3	7.907000E+3
2.580000E-3	7.956000E+3
2.600000E-3	7.752000E+3
2.620000E-3	8.139000E+3
2.640000E-3	7.908000E+3
2.660000E-3	7.911000E+3
2.680000E-3	7.770000E+3
2.700000E-3	7.904000E+3
2.720000E-3	8.206000E+3
2.740000E-3	7.885000E+3
2.760000E-3	8.116000E+3
2.780000E-3	7.970000E+3
2.800000E-3	7.967000E+3
2.820000E-3	8.027000E+3
2.840000E-3	7.863000E+3
2.860000E-3	7.962000E+3
2.880000E-3	8.016000E+3
2.900000E-3	7.864000E+3
2.920000E-3	7.921000E+3
2.940000E-3	7.954000E+3
2.960000E-3	7.798000E+3
2.980000E-3	7.923000E+3
3.000000E-3	8.022000E+3
3.020000E-3	7.986000E+3
3.040000E-3	7.947000E+3
3.060000E-3	7.944000E+3
3.080000E-3	7.779000E+3
3.100000E-3	7.944000E+3
3.120000E-3	7.965000E+3
3.140000E-3	7.887000E+3
3.160000E-3	7.894000E+3
3.180000E-3	7.844000E+3
3.200000E-3	8.081000E+3
3.220000E-3	7.873000E+3
3.240000E-3	7.917000E+3
3.260000E-3	7.824000E+3
3.280000E-3	8.050000E+3
3.300000E-3	8.182000E+3
3.320000E-3	7.823000E+3
3.340000E-3	7.939000E+3
3.360000E-3	7.885000E+3
3.380000E-3	7.857000E+3
3.400000E-3	7.892000E+3
3.420000E-3	7.880000E+3
3.440000E-3	7.927000E+3
3.460000E-3	7.886000E+3
3.480000E-3	7.982000E+3
3.500000E-3	8.092000E+3
3.520000E-3	7.921000E+3
3.540000E-3	7.932000E+3
3.560000E-3	7.925000E+3
3.580000E-3	8.032000E+3
3.600000E-3	7.696000E+3
3.620000E-3	7.965000E+3
3.640000E-3	8.096000E+3
3.660000E-3	8.047000E+3
3.680000E-3	8.072000E+3
3.700000E-3	7.839000E+3
3.720000E-3	7.988000E+3
3.740000E-3	7.801000E+3
3.760000E-3	7.961000E+3
3.780000E-3	7.769000E+3
3.800000E-3	8.004000E+3
3.820000E-3	7.761000E+3
3.840000E-3	7.845000E+3
3.860000E-3	7.925000E+3
3.880000E-3	7.847000E+3
3.900000E-3	7.843000E+3
3.920000E-3	7.954000E+3
3.940000E-3	8.045000E+3
3.960000E-3	7.829000E+3
3.980000E-3	7.774000E+3
4.000000E-3	7.643000E+3
4.020000E-3	7.528000E+3
4.040000E-3	7.444000E+3
4.060000E-3	7.344000E+3
4.080000E-3	7.368000E+3
4.100000E-3	7.255000E+3
4.120000E-3	7.287000E+3
4.140000E-3	7.148000E+3
4.160000E-3	6.827000E+3
4.180000E-3	7.025000E+3
4.200000E-3	7.044000E+3
4.220000E-3	7.207000E+3
