Data run ended at:  Tuesday, November 16, 2021	2:36:04 PM
Total number of sweeps:  15007032	live time (sec):  300140.640000	real time (sec):  421023.938000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	6.561200E+5
4.000000E-5	6.569120E+5
6.000000E-5	6.561100E+5
8.000000E-5	6.581520E+5
1.000000E-4	6.558210E+5
1.200000E-4	6.572120E+5
1.400000E-4	6.567270E+5
1.600000E-4	6.580330E+5
1.800000E-4	6.571030E+5
2.000000E-4	6.564760E+5
2.200000E-4	6.570670E+5
2.400000E-4	6.556170E+5
2.600000E-4	6.559030E+5
2.800000E-4	6.557710E+5
3.000000E-4	6.581910E+5
3.200000E-4	6.563100E+5
3.400000E-4	6.556290E+5
3.600000E-4	6.568460E+5
3.800000E-4	6.554100E+5
4.000000E-4	6.556280E+5
4.200000E-4	6.568530E+5
4.400000E-4	6.567940E+5
4.600000E-4	6.576560E+5
4.800000E-4	6.557870E+5
5.000000E-4	6.563900E+5
5.200000E-4	6.571380E+5
5.400000E-4	6.560050E+5
5.600000E-4	6.556860E+5
5.800000E-4	6.569120E+5
6.000000E-4	6.573960E+5
6.200000E-4	6.559350E+5
6.400000E-4	6.570490E+5
6.600000E-4	6.558290E+5
6.800000E-4	6.552990E+5
7.000000E-4	6.570090E+5
7.200000E-4	6.569770E+5
7.400000E-4	6.561830E+5
7.600000E-4	6.560900E+5
7.800000E-4	6.552640E+5
8.000000E-4	6.566750E+5
8.200000E-4	6.554330E+5
8.400000E-4	6.558080E+5
8.600000E-4	6.569170E+5
8.800000E-4	6.545870E+5
9.000000E-4	6.577980E+5
9.200000E-4	6.556410E+5
9.400000E-4	6.568380E+5
9.600000E-4	6.550890E+5
9.800000E-4	6.571100E+5
1.000000E-3	6.564790E+5
1.020000E-3	6.564700E+5
1.040000E-3	6.558320E+5
1.060000E-3	6.563900E+5
1.080000E-3	6.563380E+5
1.100000E-3	6.565140E+5
1.120000E-3	6.569620E+5
1.140000E-3	6.552970E+5
1.160000E-3	6.560670E+5
1.180000E-3	6.557640E+5
1.200000E-3	6.572230E+5
1.220000E-3	6.567310E+5
1.240000E-3	6.566140E+5
1.260000E-3	6.567520E+5
1.280000E-3	6.566320E+5
1.300000E-3	6.550840E+5
1.320000E-3	6.578200E+5
1.340000E-3	6.560120E+5
1.360000E-3	6.555490E+5
1.380000E-3	6.577240E+5
1.400000E-3	6.565700E+5
1.420000E-3	6.564640E+5
1.440000E-3	6.558680E+5
1.460000E-3	6.551020E+5
1.480000E-3	6.568090E+5
1.500000E-3	6.561820E+5
1.520000E-3	6.553980E+5
1.540000E-3	6.568640E+5
1.560000E-3	6.557950E+5
1.580000E-3	6.573380E+5
1.600000E-3	6.555840E+5
1.620000E-3	6.554090E+5
1.640000E-3	6.555890E+5
1.660000E-3	6.562600E+5
1.680000E-3	6.572970E+5
1.700000E-3	6.552530E+5
1.720000E-3	6.567820E+5
1.740000E-3	6.576860E+5
1.760000E-3	6.555190E+5
1.780000E-3	6.578520E+5
1.800000E-3	6.571200E+5
1.820000E-3	6.555000E+5
1.840000E-3	6.551900E+5
1.860000E-3	6.560730E+5
1.880000E-3	6.564590E+5
1.900000E-3	6.554450E+5
1.920000E-3	6.561380E+5
1.940000E-3	6.559600E+5
1.960000E-3	6.567610E+5
1.980000E-3	6.572770E+5
2.000000E-3	6.554480E+5
2.020000E-3	6.560700E+5
2.040000E-3	6.557930E+5
2.060000E-3	6.574670E+5
2.080000E-3	6.579570E+5
2.100000E-3	6.569220E+5
2.120000E-3	6.564760E+5
2.140000E-3	6.549050E+5
2.160000E-3	6.558380E+5
2.180000E-3	6.560550E+5
2.200000E-3	6.570160E+5
2.220000E-3	6.574890E+5
2.240000E-3	6.562780E+5
2.260000E-3	6.564220E+5
2.280000E-3	6.563830E+5
2.300000E-3	6.576290E+5
2.320000E-3	6.561650E+5
2.340000E-3	6.564610E+5
2.360000E-3	6.565150E+5
2.380000E-3	6.582810E+5
2.400000E-3	6.543480E+5
2.420000E-3	6.556760E+5
2.440000E-3	6.558630E+5
2.460000E-3	6.566880E+5
2.480000E-3	6.582780E+5
2.500000E-3	6.562140E+5
2.520000E-3	6.563400E+5
2.540000E-3	6.553600E+5
2.560000E-3	6.566750E+5
2.580000E-3	6.557020E+5
2.600000E-3	6.578380E+5
2.620000E-3	6.566630E+5
2.640000E-3	6.544830E+5
2.660000E-3	6.580190E+5
2.680000E-3	6.563970E+5
2.700000E-3	6.571540E+5
2.720000E-3	6.547170E+5
