Data run ended at:  Wednesday, November 10, 2021	9:13:52 PM
Total number of sweeps:  3686028	live time (sec):  73720.560000	real time (sec):  100006.701000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	1.803770E+5
4.000000E-5	1.796400E+5
6.000000E-5	1.794150E+5
8.000000E-5	1.802890E+5
1.000000E-4	1.808770E+5
1.200000E-4	1.796960E+5
1.400000E-4	1.795570E+5
1.600000E-4	1.800410E+5
1.800000E-4	1.805740E+5
2.000000E-4	1.801830E+5
2.200000E-4	1.804060E+5
2.400000E-4	1.803610E+5
2.600000E-4	1.805470E+5
2.800000E-4	1.806570E+5
3.000000E-4	1.804540E+5
3.200000E-4	1.797500E+5
3.400000E-4	1.791820E+5
3.600000E-4	1.795390E+5
3.800000E-4	1.800540E+5
4.000000E-4	1.802990E+5
4.200000E-4	1.802090E+5
4.400000E-4	1.803090E+5
4.600000E-4	1.804780E+5
4.800000E-4	1.800330E+5
5.000000E-4	1.801350E+5
5.200000E-4	1.800400E+5
5.400000E-4	1.802630E+5
5.600000E-4	1.800010E+5
5.800000E-4	1.801030E+5
6.000000E-4	1.801300E+5
6.200000E-4	1.798640E+5
6.400000E-4	1.803530E+5
6.600000E-4	1.797600E+5
6.800000E-4	1.802350E+5
7.000000E-4	1.801450E+5
7.200000E-4	1.806060E+5
7.400000E-4	1.797390E+5
7.600000E-4	1.800380E+5
7.800000E-4	1.795780E+5
8.000000E-4	1.809040E+5
8.200000E-4	1.792940E+5
8.400000E-4	1.807840E+5
8.600000E-4	1.792520E+5
8.800000E-4	1.800420E+5
9.000000E-4	1.794930E+5
9.200000E-4	1.795390E+5
9.400000E-4	1.798010E+5
9.600000E-4	1.795830E+5
9.800000E-4	1.801960E+5
1.000000E-3	1.800380E+5
1.020000E-3	1.804090E+5
1.040000E-3	1.808800E+5
1.060000E-3	1.800700E+5
1.080000E-3	1.798120E+5
1.100000E-3	1.798800E+5
1.120000E-3	1.805510E+5
1.140000E-3	1.798710E+5
1.160000E-3	1.798210E+5
1.180000E-3	1.799720E+5
1.200000E-3	1.795350E+5
1.220000E-3	1.800530E+5
1.240000E-3	1.797710E+5
1.260000E-3	1.804550E+5
1.280000E-3	1.798930E+5
1.300000E-3	1.803050E+5
1.320000E-3	1.794600E+5
1.340000E-3	1.801880E+5
1.360000E-3	1.799100E+5
1.380000E-3	1.800090E+5
1.400000E-3	1.797030E+5
1.420000E-3	1.791130E+5
1.440000E-3	1.794650E+5
1.460000E-3	1.795890E+5
1.480000E-3	1.795090E+5
1.500000E-3	1.796970E+5
1.520000E-3	1.800790E+5
1.540000E-3	1.805030E+5
1.560000E-3	1.795380E+5
1.580000E-3	1.800730E+5
1.600000E-3	1.795250E+5
1.620000E-3	1.800220E+5
1.640000E-3	1.806500E+5
1.660000E-3	1.798430E+5
1.680000E-3	1.801770E+5
1.700000E-3	1.797090E+5
1.720000E-3	1.798540E+5
1.740000E-3	1.795850E+5
1.760000E-3	1.794070E+5
1.780000E-3	1.794950E+5
1.800000E-3	1.805720E+5
1.820000E-3	1.800290E+5
1.840000E-3	1.797970E+5
1.860000E-3	1.794450E+5
1.880000E-3	1.799250E+5
1.900000E-3	1.802370E+5
1.920000E-3	1.796160E+5
1.940000E-3	1.805170E+5
1.960000E-3	1.793680E+5
1.980000E-3	1.801010E+5
2.000000E-3	1.799190E+5
2.020000E-3	1.799780E+5
2.040000E-3	1.803480E+5
2.060000E-3	1.803970E+5
2.080000E-3	1.799040E+5
2.100000E-3	1.797460E+5
2.120000E-3	1.799920E+5
2.140000E-3	1.795930E+5
2.160000E-3	1.800360E+5
2.180000E-3	1.796630E+5
2.200000E-3	1.799450E+5
2.220000E-3	1.799870E+5
2.240000E-3	1.799950E+5
2.260000E-3	1.797300E+5
2.280000E-3	1.802570E+5
2.300000E-3	1.795600E+5
2.320000E-3	1.801620E+5
2.340000E-3	1.807720E+5
2.360000E-3	1.795170E+5
2.380000E-3	1.799310E+5
2.400000E-3	1.800200E+5
2.420000E-3	1.795920E+5
2.440000E-3	1.802790E+5
2.460000E-3	1.804090E+5
2.480000E-3	1.800960E+5
2.500000E-3	1.794240E+5
2.520000E-3	1.806540E+5
2.540000E-3	1.799980E+5
2.560000E-3	1.800900E+5
2.580000E-3	1.796240E+5
2.600000E-3	1.805790E+5
2.620000E-3	1.796960E+5
2.640000E-3	1.797820E+5
2.660000E-3	1.794330E+5
2.680000E-3	1.793990E+5
2.700000E-3	1.798390E+5
2.720000E-3	1.801990E+5
2.740000E-3	1.800250E+5
2.760000E-3	1.799450E+5
2.780000E-3	1.797030E+5
2.800000E-3	1.799810E+5
2.820000E-3	1.798830E+5
2.840000E-3	1.796350E+5
2.860000E-3	1.794940E+5
2.880000E-3	1.796280E+5
2.900000E-3	1.792450E+5
2.920000E-3	1.802810E+5
2.940000E-3	1.798380E+5
2.960000E-3	1.800710E+5
2.980000E-3	1.796120E+5
3.000000E-3	1.809590E+5
3.020000E-3	1.797330E+5
3.040000E-3	1.797770E+5
3.060000E-3	1.797370E+5
3.080000E-3	1.798540E+5
3.100000E-3	1.802590E+5
3.120000E-3	1.796740E+5
3.140000E-3	1.800170E+5
3.160000E-3	1.799790E+5
